planned_run,run_id,condition,feature_id,requested_ids,passed_ids,pass_percent
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-013,2,1,50.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-014,2,2,100.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-015,1,0,0.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-016,3,1,33.333333333333336
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-017,2,0,0.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-018,3,2,66.66666666666667
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-019,3,2,66.66666666666667
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-020,4,3,75.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-001,4,4,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-002,4,3,75.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-003,2,2,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-004,3,1,33.333333333333336
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-005,2,2,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-006,6,6,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-007,3,3,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-008,4,4,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-009,2,2,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-010,3,3,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-011,2,2,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-012,2,2,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-013,2,1,50.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-014,2,2,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-015,1,0,0.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-016,3,2,66.66666666666667
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-017,2,1,50.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-018,3,3,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-019,3,3,100.0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,F-020,4,4,100.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-001,4,4,100.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-002,4,3,75.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-003,2,0,0.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-004,3,0,0.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-005,2,2,100.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-006,6,6,100.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-007,3,3,100.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-008,4,4,100.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-009,2,1,50.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-010,3,2,66.66666666666667
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-011,2,1,50.0
