run_id,evaluation_uuid,test_id,case_id,status,score_available
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-006-01,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-006-02,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-006-03,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-006-04,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-006-05,lower,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-006-05,upper,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-006-06,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-007-01,main,blocked,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-007-02,main,blocked,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-007-03,main,blocked,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-008-01,main,blocked,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-008-02,main,blocked,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-008-03,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-008-04,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-009-01,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-009-02,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-010-01,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-010-02,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-010-03,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-011-01,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-011-02,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-012-01,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-012-02,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-013-01,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-013-02,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-014-01,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-014-02,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-015-01,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-016-01,main,blocked,True
